antibiotic,model,feature,gene,selection_frequency,mean_rank,mean_abs_importance,mean_signed_importance,selection_fraction,model_label
ciprofloxacin,random_forest_balanced,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,14,15.142857,0.011433,0.011433,0.933333,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__vgac,vgac,11,16.363636,0.010652,0.010652,0.733333,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__multispecies_mpha_family_macrolide_2-phosphotransferase,multispecies_mpha_family_macrolide_2-phosphotransferase,10,17.6,0.009527,0.009527,0.666667,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__mpha_family_macrolide_2-phosphotransferase,mpha_family_macrolide_2-phosphotransferase,10,18.3,0.009347,0.009347,0.666667,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,9,18.0,0.009213,0.009213,0.6,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__mpha_family,mpha_family,7,18.714286,0.008587,0.008587,0.466667,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,4,19.0,0.00807,0.00807,0.266667,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__tetb,tetb,2,18.0,0.008902,0.008902,0.133333,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__aac3-iiiiiivviviiiixx,aac3-iiiiiivviviiiixx,2,19.0,0.008876,0.008876,0.133333,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__mefb,mefb,2,19.5,0.00851,0.00851,0.133333,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__mdtm,mdtm,1,18.0,0.009245,0.009245,0.066667,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__multispecies_class_a_beta-lactamase_tem-156,multispecies_class_a_beta-lactamase_tem-156,1,20.0,0.008211,0.008211,0.066667,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__aph3-ib,aph3-ib,1,20.0,0.008203,0.008203,0.066667,Bosque aleatorio balanceado
ciprofloxacin,random_forest_balanced,amr__multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra17,multispecies_trimethoprim-resistant_dihydrofolate_reductase_dfra17,1,20.0,0.007527,0.007527,0.066667,Bosque aleatorio balanceado
cefotaxime,logistic_regression_balanced,amr__ctx-m-15,ctx-m-15,15,1.4,0.657705,0.657705,1.0,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__ctx-m_family,ctx-m_family,15,1.733333,0.64599,0.64599,1.0,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__cmy-2,cmy-2,15,3.533333,0.525622,0.525622,1.0,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__ctx-m-14,ctx-m-14,15,4.666667,0.516021,0.516021,1.0,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-15,extended-spectrum_class_a_beta-lactamase_ctx-m-15,15,4.733333,0.491617,0.491617,1.0,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__multispecies_class_c_beta-lactamase_cmy-2,multispecies_class_c_beta-lactamase_cmy-2,15,6.133333,0.461162,0.461162,1.0,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,15,6.533333,0.454348,0.454348,1.0,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,class_a_beta-lactamase_ec_3.5.2.6_ctx-m_family_extended-spectrum,15,8.933333,0.392413,0.392413,1.0,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-14,15,9.066667,0.39131,0.39131,1.0,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__extended-spectrum_class_c_beta-lactamase_cmy-2,extended-spectrum_class_c_beta-lactamase_cmy-2,15,9.133333,0.391706,0.391706,1.0,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__cmycmy-2cfelat_family,cmycmy-2cfelat_family,15,10.2,0.371806,0.371806,1.0,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-14,extended-spectrum_class_a_beta-lactamase_ctx-m-14,15,13.733333,0.250956,0.250956,1.0,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,14,12.642857,0.272489,0.272489,0.933333,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__response_regulator_baer,response_regulator_baer,13,16.615385,0.218544,-0.218544,0.866667,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__qnrs1,qnrs1,12,15.583333,0.227775,0.227775,0.8,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__ctx-m-55,ctx-m-55,12,16.75,0.219148,0.219148,0.8,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__multidrug_resistance_protein_mdth,multidrug_resistance_protein_mdth,10,15.1,0.234721,-0.234721,0.666667,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__multispecies_class_a_beta-lactamase_tem-156,multispecies_class_a_beta-lactamase_tem-156,9,17.777778,0.210763,0.210763,0.6,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,8,16.625,0.215731,0.215731,0.533333,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__ctx-m-27,ctx-m-27,6,18.0,0.214433,0.214433,0.4,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__class_d_beta-lactamase_ec_3.5.2.6_oxa-1_family,class_d_beta-lactamase_ec_3.5.2.6_oxa-1_family,4,16.75,0.213644,0.213644,0.266667,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__ctx-m-1,ctx-m-1,4,18.0,0.205217,0.205217,0.266667,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__multidrug_resistance_protein_mdtg,multidrug_resistance_protein_mdtg,3,17.666667,0.208301,-0.208301,0.2,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-27,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-27,3,19.666667,0.190459,0.190459,0.2,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__lsu_ribosomal_protein_l6p_l9e,lsu_ribosomal_protein_l6p_l9e,2,16.0,0.242739,-0.242739,0.133333,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__undecaprenyl-diphosphatase_bcrc_ec_3.6.1.27_conveys_bacitracin_resistance,undecaprenyl-diphosphatase_bcrc_ec_3.6.1.27_conveys_bacitracin_resistance,2,16.5,0.22731,-0.22731,0.133333,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__multidrug_efflux_system_emrky-tolc_inner-membrane_protondrug_antiporter_emry_mfs_type,multidrug_efflux_system_emrky-tolc_inner-membrane_protondrug_antiporter_emry_mfs_type,2,16.5,0.208507,-0.208507,0.133333,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-55,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-55,2,17.5,0.206801,0.206801,0.133333,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__broad-spectrum_class_a_beta-lactamase_tem-1,broad-spectrum_class_a_beta-lactamase_tem-1,2,18.0,0.199213,-0.199213,0.133333,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__mpha,mpha,2,20.0,0.203653,0.203653,0.133333,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__hypothetical_protein,hypothetical_protein,1,12.0,0.255232,-0.255232,0.066667,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__multidrug_efflux_system_mdtef-tolc_inner-membrane_protondrug_antiporter_mdtf_rnd_type,multidrug_efflux_system_mdtef-tolc_inner-membrane_protondrug_antiporter_mdtf_rnd_type,1,13.0,0.267136,-0.267136,0.066667,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__multispecies_type_a-2_chloramphenicol_o-acetyltransferase_catii,multispecies_type_a-2_chloramphenicol_o-acetyltransferase_catii,1,13.0,0.251596,-0.251596,0.066667,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,1,15.0,0.229379,0.229379,0.066667,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__oxa-1_family_class_d_beta-lactamase,oxa-1_family_class_d_beta-lactamase,1,15.0,0.211902,0.211902,0.066667,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-55,extended-spectrum_class_a_beta-lactamase_ctx-m-55,1,17.0,0.199323,0.199323,0.066667,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__catb3,catb3,1,18.0,0.213899,0.213899,0.066667,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__multispecies_quinolone_resistance_pentapeptide_repeat_protein_qnrs1,multispecies_quinolone_resistance_pentapeptide_repeat_protein_qnrs1,1,18.0,0.213668,0.213668,0.066667,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,1,19.0,0.177714,0.177714,0.066667,Regresión logística balanceada
cefotaxime,logistic_regression_balanced,amr__multispecies_chloramphenicol_efflux_mfs_transporter_cmla1,multispecies_chloramphenicol_efflux_mfs_transporter_cmla1,1,20.0,0.172099,-0.172099,0.066667,Regresión logística balanceada
